Site,Plot,Treatment,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017
CAR,1,Open,2,6,0,0,3,4,5,2,2,1,3,2,2,2,0,2,6
CAR,1,Closed,5,4,1,0,9,6,4,3,5,2,5,4,2,5,0,2,4
CAR,2,Open,14,21,0,4,1,10,1,7,8,4,4,3,3,37,0,11,5
CAR,2,Closed,8,7,1,3,4,3,1,2,9,3,10,1,1,63,0,4,5
CAR,3,Open,2,9,3,0,1,5,1,2,4,3,5,0,1,1,0,3,2
CAR,3,Closed,3,1,0,0,5,2,3,1,3,4,9,1,1,0,0,5,1
CAR,4,Open,3,3,2,9,2,4,2,4,2,3,4,1,3,1,0,1,1
CAR,4,Closed,3,3,1,15,0,10,4,5,9,4,5,2,3,3,0,6,3
CAR,5,Open,19,2,3,4,0,9,3,5,2,5,9,2,7,13,0,33,6
CAR,5,Closed,0,0,1,1,0,1,2,2,1,3,7,1,1,4,0,6,4
CAR,8,Open,11,17,0,4,2,32,2,5,5,10,7,3,1,5,0,6,7
CAR,8,Closed,1,3,1,4,3,6,1,2,2,4,11,2,5,3,0,7,9
CAR,9,Open,2,24,4,2,6,12,4,9,4,7,9,3,1,12,0,8,6
CAR,9,Closed,7,7,2,7,3,17,8,11,4,7,20,10,5,14,0,8,5
CAR,10,Open,11,5,2,0,1,8,8,3,3,0,0,1,1,0,0,6,6
CAR,10,Closed,10,11,3,7,13,10,8,4,4,5,7,8,5,7,0,17,17
CAR,11,Open,13,15,1,2,8,7,7,4,4,4,4,7,4,2,0,1,7
CAR,11,Closed,3,2,0,3,3,4,1,1,2,3,3,5,1,2,0,3,7
CAR,12,Open,0,6,3,0,1,0,1,3,0,1,4,2,0,0,0,2,6
CAR,12,Closed,1,9,1,1,5,4,6,2,1,1,1,2,3,1,0,1,4
CAR,14,Open,15,2,0,0,0,9,3,4,2,2,1,1,0,3,0,2,8
CAR,14,Closed,0,0,0,0,1,3,0,0,0,1,3,0,2,2,0,3,1
CAR,15,Open,4,8,0,0,1,6,4,2,9,2,9,2,2,0,0,2,1
CAR,15,Closed,1,1,0,1,0,4,0,8,7,7,13,4,5,5,0,6,9
CBO,1,Open,2,1,2,3,0,0,4,1,0,0,0,4,5,4,3,3,4
CBO,1,Closed,2,1,4,1,0,5,3,0,0,0,0,10,6,2,1,2,5
