PlotID,site,treatment,plot,month,time,Species,abundances
CAR_closed_10_T006_6_herb,CAR,closed,10,T006,6,Acanthaceae.sp.,3
CAR_closed_10_T006_6_herb,CAR,closed,10,T006,6,Lindsaea�sp.,1
CAR_closed_10_T006_6_herb,CAR,closed,10,T006,6,Philodendron.sp.,1
CAR_closed_10_T006_6_herb,CAR,closed,10,T006,6,Polypodiaceae.sp. 1,1
CAR_closed_10_T006_6_liana,CAR,closed,10,T006,6,Sapindaceae,0
CAR_closed_10_T006_6_palm,CAR,closed,10,T006,6,Euterpe.edulis,26
CAR_closed_10_T006_6_palm,CAR,closed,10,T006,6,Geonoma.elegans,4
CAR_closed_10_T006_6_palm,CAR,closed,10,T006,6,Geonoma.sp.,0
CAR_closed_10_T006_6_shrub,CAR,closed,10,T006,6,Psychotria.nuda,0
CAR_closed_10_T006_6_shrub,CAR,closed,10,T006,6,Rudgea.jasminoides,2
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Eugenia.cuprea,1
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Eugenia.neoaustralis,0
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Eugenia.pruinosa,1
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Eugenia.sp.,2
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Garcinia.gardneriana,1
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Hirtella.hebeclada,0
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Marlierea.obscura,1
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Meliosma.sellowii,2
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Mollinedia.sp.,0
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Myrceugenia.myrcioides,1
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Myrtaceae.sp.,0
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Sorocea.bonplandii,1
CAR_closed_10_T006_6_tree,CAR,closed,10,T006,6,Virola.gardneri,2
